Scottish Vacant and Derelict Land Survey (SVDLS) Site Register 2024,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,
The table is a register of vacant and derelict sites and includes a variety of information about those sites in 2024.,,,,,,,,,,,,, ,
"Total sites on the register number 3,154 and include 93 urban vacant sites in settlements with a population under 2,000.
These 93 sites are not included in the main figures in the SVDLS 2024 statistical publication but are reported separately in Annex Table 2.",,,,,,,,,,,,,,
Go to Background and Notes,,,,,,,,,,,,,,
Go to Variables in Register,,,,,,,,,,,,,,
Go to Contact Details,,,,,,,,,,,,,,
Planning Authority ,Site Code,Site Name (If Supplied),Address (If Supplied),East,North,Site Size (Hectares),Site Type,Location of Site,Owner 1,Owner 2,Period when site became Vacant or Derelict,Previous Use of Site,Development Potential,Datazone
Clackmannanshire,CSIDE006,KILBAGIE,COUNTRYSIDE KILBAGIE,292740,689958,18.66,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2015,Manufacturing,Developable - Undetermined,S01007448
Clackmannanshire,CSIDE007,FORMER TULLYGARTH COLLIERY,COUNTRYSIDE,292701,692376,4.44,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2015,Mineral Activity,Developable - Undetermined,S01007448
Clackmannanshire,CSIDE010,FORMER GLENOCHIL NURSERY,COUNTRYSIDE NORTH OF A91,286156,697071,2.7,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2012,Retailing,Developable - Short Term,S01007420
Clackmannanshire,DEVON001,DEVON VILLAGE,DEVON VILLAGE NORTH OF A908,290407,696008,0.34,Vacant Land,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),1996-2000,Transport,Developable - Medium Term,S01007432
Clackmannanshire,SAUCH008,MAIN STREET,SAUCHIE MAIN STREET,289424,694117,0.35,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2001-2004,Mineral Activity,Developable - Medium Term,S01007455
Clackmannanshire,TILLI004,MIDDLETON MILL,TILLICOULTRY UPPER MILL STREET,291389,697223,1.27,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1986-1990,Manufacturing,Unknown (uncertain/insufficient information),S01007437
Clackmannanshire,TILLI014,BLACKFAULDS STREET,COALSNAUGHTON BLACKFAULDS STREET,291657,695981,0.37,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2010,Mineral Activity,Developable - Short Term,S01007432
Clackmannanshire,TILLI017,CRANKIE BRAE,TILLICOULTRY PARK STREET,291971,696131,1.44,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2015,Agriculture,Developable - Short Term,S01007434
Dumfries and Galloway,110000010,FORMER GARAGE,LONDON RD STRANRAER,207798,560778,0.21,Derelict,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Other General Industry,Developable - Medium Term,S01007489
Dumfries and Galloway,140000001,FMR TARFF MILLS,KIRKCOWAN,233036,560241,0.28,Derelict,Site in countryside,Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Undetermined,S01007504
Dumfries and Galloway,140000002,BORELAND FELL,QUARRY KIRKCOWAN,234868,559385,3.86,Derelict,Site in countryside,Ownership unknown,Not applicable  (i.e. only one owner),1986-1990,Mineral Activity,Uneconomic to Develop/Soft End Use,S01007504
Dumfries and Galloway,160000002,FORMER CORN MILL,HIGH STREET PORT WILLIAM,233939,543580,0.25,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Other General Industry,Developable - Undetermined,S01007510
Dumfries and Galloway,210000001,BARBRIDGE MILL,DALBEATTIE,283956,561389,0.39,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Medium Term,S01007541
Dumfries and Galloway,300000021,NEWBRIDGE CARAVAN SITE,DUMFRIES DUMFRIES,295289,578726,3.28,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,"Residential - Hotels, Hostels etc",Developable - Medium Term,S01007569
Dumfries and Galloway,320000001,COLLIERY,FAULDHEAD KIRKCONNEL,273345,612368,9.23,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Mineral Activity,Uneconomic to Develop/Soft End Use,S01007552
Dumfries and Galloway,330000015,BUCCLEUCH RD,SANQUHAR,278123,610047,0.12,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Short Term,S01007556
Dumfries and Galloway,400000002,FORMER TANNERY,PORT STREET ANNAN,318963,566417,0.21,Derelict,"Site in settlement with population equal to or over 2,000",Ownership unknown,Ownership unknown,Unknown,Manufacturing,Developable - Undetermined,S01007661
Dumfries and Galloway,4400000001,FMR STATION YARD,MOFFAT,308523,604853,0.39,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Transport,Developable - Medium Term,S01007643
Dumfries and Galloway,4400000008,FMR GAS WORKS,HOLM STREET MOFFAT,308571,605100,0.19,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Undetermined,S01007643
Dumfries and Galloway,440000007,FMR MERCURY HOTEL,MOFFAT MOFFAT,308508,605013,0.35,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1996-2000,"Residential - Hotels, Hostels etc",Developable - Short Term,S01007643
Dumfries and Galloway,470000009,DISUSED MILL/PLANT,OLD MILITARY ROAD TWYNHOLM,267585,555375,0.44,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2010,Manufacturing,Developable - Undetermined,S01007524
Dumfries and Galloway,470000011,MARINE WORKS UNIT,SHORE STREET DRUMMORE,213693,536777,0.15,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2010,Other General Industry,Developable - Undetermined,Unknown
Dumfries and Galloway,470000012,FORFIELD COURT,CAIRNRYAN ROAD STRANRAER,207696,561374,0.16,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2010,"Residential - Hotels, Hostels etc",Developable - Medium Term,S01007498
Dumfries and Galloway,470000013,DISUSED COALMINE,ROWANBURN,340808,577384,6.61,Derelict,"Site in settlement with population under 2,000",Coal Authority,Not applicable  (i.e. only one owner),Unknown,Mineral Activity,Developable - Medium Term,S01007650
Dumfries and Galloway,470000014,WELL ROAD,MOFFAT MOFFAT,308981,605408,0.6,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Short Term,S01007643
Dumfries and Galloway,470000015,CATHERINEFIELD BOMBSTORE,CATHERINE FIELD ROAD DUMFRIES,300750,578828,1.21,Derelict,"Site in settlement with population equal to or over 2,000",Ownership unknown,Ownership unknown,1980 or earlier,Defence,Developable - Undetermined,S01007626
Dumfries and Galloway,470000016,OLD GASWORKS SITE,KINGHOLM QUAY DUMFRIES,297549,573542,0.42,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Medium Term,S01007599
Dumfries and Galloway,470000017,SMALL POX HOSPITAL,A75 NEWTON STEWART,240660,564617,0.34,Derelict,"Site in settlement with population equal to or over 2,000",Health Boards,Not applicable  (i.e. only one owner),1980 or earlier,Community & Health,Developable - Undetermined,S01007513
Dumfries and Galloway,470000018,BALDOON AIRFIELD,SHELL ROAD BRAEHEAD,243292,553475,164.03,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Defence,Developable - Undetermined,S01007506
Dumfries and Galloway,470000020,TERALLY BRICK WORKS,A716 PORT LOGAN WIGTON,212053,540660,4,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Manufacturing,Uneconomic to Develop/Soft End Use,S01007501
Dumfries and Galloway,470000021,BLACKCRAIG LEAD MINE,OLD MILITARY ROAD NEWTON STEWART,244785,564454,0.19,Derelict,Site in countryside,Ownership unknown,Not applicable  (i.e. only one owner),1980 or earlier,Mineral Activity,Uneconomic to Develop/Soft End Use,S01007519
Dumfries and Galloway,470000023,KIDSDALE RADAR STATION,ISLE OF WHITHORN ISLE OF WHITHORN,244389,536858,5.02,Derelict,Site in countryside,Other Private,Other Private,1980 or earlier,Defence,Uneconomic to Develop/Soft End Use,S01007512
Dumfries and Galloway,490000001,FMR ROADS DEPOT,EAGLESFIELD EAGLESFIELD,322895,573979,1.52,Derelict,"Site in settlement with population under 2,000",Housing Association,Not applicable  (i.e. only one owner),1996-2000,Transport,Developable - Medium Term,S01007653
Dumfries and Galloway,500000001,CRECA CAMP,CRECA CRECA,322756,570269,0.41,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Defence,Developable - Short Term,S01007671
Dumfries and Galloway,ANN-AH01,ALBERT HALL,PORT STREET ANNAN,319132,566426,0.19,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Other Private,1991-1995,Unknown,Developable - Undetermined,S01007661
Dumfries and Galloway,BTKBI201-1,NORTH WEST,MAIN STREET BEATTOCK,307722,602623,3.76,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Transport,Developable - Medium Term,S01007641
Dumfries and Galloway,DFS-0055,FORMER MAXWELLTOWN SCHOOLS,LOCHSIDE ROAD DUMFRIES,294977,578133,7.51,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2020,Education,Developable - Short Term,S01007575
Dumfries and Galloway,DFS-0062,CONVENT,MAXWELL STREET DUMFRIES,296685,575767,0.92,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2011,Retailing,Developable - Medium Term,S01007589
Dumfries and Galloway,DFS-0063,FORMER RESTAURANT,MOFFAT ROAD DUMFRIES,298072,577243,0.11,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2017,Business Class,Developable - Medium Term,S01007614
Dumfries and Galloway,DFS-0064,8 ENGLISH STREET AND LAND TO REAR,ENGLISH STREET DUMFRIES,296684,575767,0.13,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2011,Retailing,Developable - Medium Term,S01007589
Dumfries and Galloway,DFS-0065,FORMER LANGLANDS SCHOOL,LOREBURN PARK DUMFRIES,297549,576663,0.33,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2020,Education,Developable - Short Term,S01007613
Dumfries and Galloway,DFS-060,ROSEFIELD MILLS,TROQUEER ROAD SOUTH DUMFRIES,297306,575436,1.37,Derelict,"Site in settlement with population equal to or over 2,000",Urban Regeneration Company,Other Private,1980 or earlier,Manufacturing,Developable - Short Term,S01007592
Dumfries and Galloway,DFS-061,FACTORY SHOP,DUMFRIES,297030,576190,0.21,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2018,Retailing,Developable - Medium Term,S01007612
Dumfries and Galloway,DFS-MU2040,FORMER NEWTON HOTEL,GLASGOW ROAD DUMFRIES,295743,578016,1.33,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Other Private,1991-1995,"Residential - Hotels, Hostels etc",Developable - Medium Term,S01007576
Dumfries and Galloway,DFSBI-010,LAND AT GILNOCKIE,TINWALD DOWNS ROAD DUMFRIES,299923,578663,2.38,Vacant Land,"Site in settlement with population equal to or over 2,000",Scottish Enterprise,Not applicable  (i.e. only one owner),1980 or earlier,Defence,Developable - Short Term,S01007627
Dumfries and Galloway,DFSBI1-005,LAND NORTH OF AVIATION MUSEUM,TINWALD DOWNS ROAD DUMFRIES,300202,578695,2.15,Vacant Land,"Site in settlement with population equal to or over 2,000",Scottish Enterprise,Not applicable  (i.e. only one owner),1980 or earlier,Defence,Developable - Medium Term,S01007627
Dumfries and Galloway,DFSBI2-006,CARGENBRIDGE,DALBEATTIE ROAD DUMFRIES,294955,574779,9.64,Vacant Land,"Site in settlement with population equal to or over 2,000",Scottish Enterprise,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Medium Term,S01007594
Dumfries and Galloway,DFSBI266-4,LAND WEST OF FORMER FACTORY,EDINBURGH ROAD DUMFRIES,298819,579133,0.54,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2015,Other General Industry,Developable - Medium Term,S01007622
Dumfries and Galloway,DFSBI4-007,HEATHHALL AIRFIELD,CATHERINEFIELD ROAD DUMFRIES,300404,578695,7.12,Derelict,"Site in settlement with population equal to or over 2,000",Scottish Enterprise,Not applicable  (i.e. only one owner),1980 or earlier,Defence,Developable - Medium Term,S01007626
Dumfries and Galloway,DFSBI5-008,LAND SOUTH OF DUMFRIES ENTERPRISE PARK,TINWALD DOWNS ROAD DUMFRIES,299793,578549,2.47,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Defence,Developable - Medium Term,S01007627
Dumfries and Galloway,DFSH221-02,FORMER DEPOT,TERREGLES ROAD DUMFRIES,295529,576334,1.1,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Storage,Developable - Undetermined,S01007572
Dumfries and Galloway,DFSH269-09,LAND AT BROOMS ROAD,BROOMS ROAD DUMFRIES,298149,576175,0.36,Derelict,"Site in settlement with population equal to or over 2,000",Housing Association,Not applicable  (i.e. only one owner),2015,Utility Services,Developable - Short Term,S01007610
Dumfries and Galloway,DFSH4-0001,HEATHHALL COLLEGE,CATHERINEFIELD ROAD DUMFRIES,299796,579420,2.92,Derelict,"Site in settlement with population equal to or over 2,000",Housing Association,Not applicable  (i.e. only one owner),2008,Education,Developable - Short Term,S01007620
Dumfries and Galloway,DFSLF001,LADYFIELD EAST,GLENCAPLE ROAD DUMFRIES,297881,574087,1.38,Derelict,"Site in settlement with population equal to or over 2,000",Health Boards,Not applicable  (i.e. only one owner),Unknown,Community & Health,Developable - Short Term,S01007593
Dumfries and Galloway,DFSLF002,LADYFIELD WEST,GLENCAPLE ROAD DUMFRIES,297831,574395,2.02,Derelict,"Site in settlement with population equal to or over 2,000",Health Boards,Not applicable  (i.e. only one owner),Unknown,Community & Health,Developable - Short Term,S01007593
Dumfries and Galloway,DFSMU2030,FORMER INTERFLOOR FACTORY,EDINBURGH ROAD DUMFRIES,298901,579071,2.69,Derelict,"Site in settlement with population equal to or over 2,000",Other Nationalised Industry or Statutory undertakers,Not applicable  (i.e. only one owner),2001-2004,Manufacturing,Developable - Medium Term,S01007622
Dumfries and Galloway,ESTRG001,EASTRIGGS MOD SITE,EASTRIGGS ANNAN,325951,564796,430.4,Derelict,"Site in settlement with population under 2,000",Defence,Not applicable  (i.e. only one owner),2020,Defence,Developable - Undetermined,S01007675
Dumfries and Galloway,ESTRG002,BROWHOUSES MOD SITE,EASTRIGGS ANNAN,328373,565640,3.16,Derelict,"Site in settlement with population under 2,000",Defence,Not applicable  (i.e. only one owner),2020,Defence,Developable - Undetermined,S01007675
Dumfries and Galloway,GOFH20001,FORMER GARAGE,HIGH STREET GATEHOUSE OF FLEET,260261,556509,0.39,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2010,Other General Industry,Developable - Short Term,S01007522
Dumfries and Galloway,H400000004,MINISTERS MERSE,ANNAN,318727,566081,1.71,Derelict,"Site in settlement with population equal to or over 2,000",Urban Regeneration Company,Not applicable  (i.e. only one owner),1986-1990,Unknown,Developable - Short Term,S01007661
Dumfries and Galloway,I330000019,GLASGOW ROAD,SANQUHAR SANQUHAR,277478,610482,0.67,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Short Term,S01007555
Dumfries and Galloway,KBTH202-01,KIRKCUDBRIGHT CREAMERY,BRIDGE STREET KIRKCUDBRIGHT,268360,551394,1.1,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2010,Manufacturing,Developable - Short Term,S01007525
Dumfries and Galloway,LNGHM-002,REID AND TAYLORS MILL,WILLIAM STREET LANGHOLM,336170,584618,0.68,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2014,Manufacturing,Developable - Undetermined,S01007648
Dumfries and Galloway,LNGHM-003,OLD SCHOOL,THOMAS TELFORD ROAD LANGHOLM,335965,584778,0.4,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2022,Education,Developable - Short Term,S01007648
Dumfries and Galloway,LNGHM001,FORD MILLS,WATERSIDE LANGHOLM,336296,584421,0.84,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Undetermined,S01007647
Dumfries and Galloway,LRBH3-0011,PARK PLACE,LOCKERBIE,313955,581438,0.62,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Short Term,S01007637
